Condition    Stage    Image_n    Probe    index    z    y    x    n_rna    coloc
HS    4-cell    Image_03_191010    B04957    60    25    240    24    5    FALSE
HS    4-cell    Image_03_191010    B04957    61    139    316    27    6    FALSE
HS    4-cell    Image_03_191010    B04957    62    117    354    31    5    FALSE
HS    4-cell    Image_03_191010    B04957    63    233    404    25    6    FALSE
HS    4-cell    Image_03_191010    B04957    64    170    487    25    9    FALSE
HS    4-cell    Image_03_191010    B04957    65    302    311    31    6    FALSE
HS    4-cell    Image_03_191010    B04957    66    229    440    23    6    FALSE
HS    4-cell    Image_03_191010    B04957    67    158    215    25    7    FALSE
HS    4-cell    Image_03_191010    B04957    68    16    255    23    6    FALSE
HS    4-cell    Image_03_191010    B04957    69    147    271    30    10    FALSE
HS    4-cell    Image_03_191010    B04957    70    197    43    27    5    TRUE
HS    4-cell    Image_03_191010    B04957    71    229    183    25    5    FALSE
HS    4-cell    Image_03_191010    B04957    72    159    155    27    8    TRUE
HS    4-cell    Image_03_191010    B04957    73    116    192    27    5    FALSE
HS    4-cell    Image_03_191010    B04957    74    55    271    29    5    FALSE
HS    4-cell    Image_03_191010    B04957    75    125    164    31    5    FALSE
HS    4-cell    Image_03_191010    B04957    76    39    176    30    6    FALSE
HS    4-cell    Image_03_191010    B04957    77    188    246    29    5    FALSE
HS    4-cell    Image_03_191010    B04957    78    100    157    31    13    FALSE
HS    4-cell    Image_03_191010    B04957    79    102    312    38    9    FALSE
HS    4-cell    Image_03_191010    B04957    80    109    312    33    5    FALSE
HS    4-cell    Image_03_191010    B04957    81    305    203    34    5    FALSE
HS    4-cell    Image_03_191010    B04957    82    311    249    34    5    FALSE
HS    4-cell    Image_03_191010    B04957    83    241    259    35    5    FALSE
HS    4-cell    Image_03_191010    B04957    84    135    463    31    6    FALSE
HS    4-cell    Image_03_191010    B04957    85    60    284    36    7    FALSE
HS    4-cell    Image_03_191010    B04957    86    99    398    33    5    FALSE
HS    4-cell    Image_03_191010    B04957    87    123    20    35    6    TRUE
HS    4-cell    Image_03_191010    B04957    88    191    49    35    5    TRUE
HS    4-cell    Image_03_191010    B04957    89    177    189    35    5    FALSE
HS    4-cell    Image_03_191010    B04957    90    214    316    37    5    FALSE
HS    4-cell    Image_03_191010    B04957    91    220    203    40    12    FALSE
HS    4-cell    Image_03_191010    B04957    92    47    231    41    7    FALSE
HS    4-cell    Image_03_191010    B04957    93    152    422    37    8    FALSE
HS    4-cell    Image_03_191010    B04957    94    129    92    40    8    TRUE
HS    4-cell    Image_03_191010    B04957    95    43    165    40    7    FALSE
HS    4-cell    Image_03_191010    B04957    96    124    202    41    7    FALSE
HS    4-cell    Image_03_191010    B04957    97    92    231    42    5    FALSE
HS    4-cell    Image_03_191010    B04957    98    182    426    43    5    FALSE
HS    4-cell    Image_03_191010    set-3    1    74    60    20    12    TRUE
HS    4-cell    Image_03_191010    set-3    2    200    358    30    8    FALSE
HS    4-cell    Image_03_191010    set-3    3    202    80    32    8    FALSE
HS    4-cell    Image_03_191010    set-3    4    265    196    7    5    FALSE
HS    4-cell    Image_03_191010    set-3    5    158    80    7    6    TRUE
HS    4-cell    Image_03_191010    set-3    6    117    82    8    5    TRUE
HS    4-cell    Image_03_191010    set-3    7    99    238    12    5    FALSE
HS    4-cell    Image_03_191010    set-3    8    223    310    9    9    FALSE
HS    4-cell    Image_03_191010    set-3    9    198    102    9    9    TRUE
HS    4-cell    Image_03_191010    set-3    10    113    281    9    6    FALSE
HS    4-cell    Image_03_191010    set-3    11    70    152    19    7    FALSE
HS    4-cell    Image_03_191010    set-3    12    71    76    12    5    TRUE
HS    4-cell    Image_03_191010    set-3    13    244    393    11    5    FALSE
HS    4-cell    Image_03_191010    set-3    14    124    440    10    6    FALSE
HS    4-cell    Image_03_191010    set-3    15    119    39    11    6    TRUE
HS    4-cell    Image_03_191010    set-3    16    279    199    13    5    FALSE
HS    4-cell    Image_03_191010    set-3    17    155    190    15    5    FALSE
HS    4-cell    Image_03_191010    set-3    18    155    22    17    8    TRUE
HS    4-cell    Image_03_191010    set-3    19    109    436    16    6    FALSE
HS    4-cell    Image_03_191010    set-3    20    151    370    17    5    FALSE
HS    4-cell    Image_03_191010    set-3    21    173    111    16    5    TRUE
HS    4-cell    Image_03_191010    set-3    22    127    22    36    6    TRUE
HS    4-cell    Image_03_191010    set-3    23    242    124    20    5    FALSE
HS    4-cell    Image_03_191010    set-3    24    279    416    22    5    FALSE
HS    4-cell    Image_03_191010    set-3    25    306    265    26    6    FALSE
HS    4-cell    Image_03_191010    set-3    26    56    149    34    5    FALSE
HS    4-cell    Image_03_191010    set-3    27    102    313    38    9    FALSE
HS    4-cell    Image_03_191010    set-3    28    301    307    33    5    FALSE
HS    4-cell    Image_03_191010    set-3    29    129    92    42    6    TRUE
HS    4-cell    Image_03_191010    set-3    30    160    108    41    5    TRUE
HS    4-cell    Image_04_191016    B04957    1    107    511    17    5    TRUE
HS    4-cell    Image_04_191016    B04957    2    138    565    5    9    TRUE
HS    4-cell    Image_04_191016    B04957    3    173    639    14    17    TRUE
HS    4-cell    Image_04_191016    B04957    4    180    595    6    11    TRUE
HS    4-cell    Image_04_191016    B04957    5    197    263    13    6    FALSE
HS    4-cell    Image_04_191016    B04957    6    215    446    20    14    FALSE
HS    4-cell    Image_04_191016    B04957    7    214    174    8    13    FALSE
HS    4-cell    Image_04_191016    B04957    8    218    158    16    9    FALSE
HS    4-cell    Image_04_191016    B04957    9    217    244    17    13    FALSE
HS    4-cell    Image_04_191016    B04957    10    228    438    12    6    FALSE
HS    4-cell    Image_04_191016    B04957    11    228    647    15    12    TRUE
HS    4-cell    Image_04_191016    B04957    12    240    469    18    10    FALSE
HS    4-cell    Image_04_191016    B04957    13    268    569    16    10    TRUE
HS    4-cell    Image_04_191016    B04957    14    273    489    16    5    FALSE
